#Table V. Buchdahl FittingCoefficients,QuadraticModel,Visible Spectral Region 
#SCHOTT GLASS CATALOGUE: OUADRATIC MODEL.VISIBLE SPECTRAL REGION 
#GLASS  BASE INDEX    NU1         NU2      STD DEV  MAX ERROR   WVL 
SF1      1.719087  -.13212E+00   .47971E-01  .000024   .000060   .460
SF2      1.649053  -.10432E+00   .30949E-01  .000021   .000051   .455
SF3      1.741863  -.14249E+00   .55258E-01  .000024   .000059   .465
SF4      1.757142  -.14860E+00   .59573E-01  .000023   .000055   .460
SF5      1.674185  -.11374E+00   .36167E-01  .000022   .000054   .455
SF6      1.807421  -.17145E+00   .76596E-01  .000022   .000054   .475
SF7      1.641120  -.10085E+00   .28474E-01  .000020   .000049   .455
SF8      1.690503  -.12026E+00   .40213E-01  .000023   .000057   .460
SF9      1.655847  -.10603E+00   .31263E-01  .000020   .000051   .455
SF10     1.730067  -.13910E+00   .56597E-01  .000015   .000037   .470
SF11     1.786872  -.16486E+00   .79106E-01  .000010   .000018   .400
SF12     1.649675  -.10445E+00   .31156E-01  .000018   .000044   .460
SF13     1.742671  -.14550E+00   .63182E-01  .000011   .000028   .480
SF14     1.763850  -.15548E+00   .72248E-01  .000010   .000020   .495
SF15     1.700602  -.12632E+00   .47122E-01  .000016   .000039   .470
SF16     1.647464  -.10347E+00   .30179E-01  .000020   .000050   .455
SF17     1.723262  -.10527E+00   .31408E-01  .000021   .000051   .455
SF18     1.656144  -.13407E+00   .49275E-01  .000023   .000057   .460
SF19     1.690119  -.11009E+00   .33739E-01  .000021   .000051   .455
SF50     1.742670  -.10845E+00   .34446E-01  .000022   .000055   .460
SF51     1.786830  -.10915E+00   .34788E-01  .000021   .000051   .465
SF52     1.920613  -.12227E+00   .42967E-01  .000023   .000057   .460
SF53     1.651546  -.13786E+00   .53193E-01  .000020   .000050   .465
SF54     1.668239  -.14314E+00   .56923E-01  .000021   .000050   .460
SF55     1.661675  -.15327E+00   .64864E-01  .000021   .000051   .465
SF56     1.730102  -.16305E+00   .72042E-01  .000018   .000043   .465
SF57     1.763801  -.19206E+00   .93683E-01  .000025   .000061   .480
SF58     1.849171  -.23003E+00   .12822E+00  .000014   .000026   .400
SF59     1.955782  -.25171E+00   .15140E+00  .000030   .000090   .400
SF61     1.752775  -.14804E+00   .60765E-01  .000020   .000049   .460
SF62     1.682857  -.11615E+00   .37589E-01  .000021   .000052   .460
SF63     1.750313  -.14653E+00   .59561E-01  .000021   .000051   .460
SFN64    1.707504  -.12666E+00   .47841E-01  .000004   .000010   .480
TIK1     1.479281  -.45143E-01  -.48828E-03  .000004   .000011   .400
TIF1     1.511902  -.55149E-01   .65987E-02  .000003   .000005   .655
TIF2     1.533389  -.63525E-01   .12103E-01  .000001   .000003   .645
TIF3     1.548577  -.70980E-01   .17246E-01  .000003   .000007   .470
TIF4     1.585187  -.85983E-01   .26661E-01  .000003   .000007   .485
TIFN5    1.594745  -.91081E-01   .29675E-01  .000002   .000006   .490
TIF6     1.617905  -.10761E+00   .57041E-01  .000032   .000095   .400
TISF1    1.675043  -.12637E+00   .55732E-01  .000013   .000042   .400
KZF1     1.551949  -.61149E-01   .45139E-02  .000008   .000023   .400
KZF2     1.530180  -.56588E-01   .18365E-02  .000005   .000014   .400
KZF6     1.527563  -.56903E-01   .21934E-02  .000005   .000015   .400
KZFS1    1.614095  -.76217E-01   .63083E-02  .000006   .000015   .400
KZFSN2   1.559109  -.57153E-01   .13782E-02  .000006   .000010   .500
KZFSN4   1.614398  -.76255E-01   .76805E-02  .000007   .000020   .400
KZFSN5   1.655302  -.90617E-01   .14951E-01  .000009   .000025   .400
KZFS6    1.592846  -.67378E-01   .33967E-02  .000010   .000005   .400
KZFSN7   1.681949  -.10022E+00   .22339E-01  .000008   .000021   .450
KZFS8    1.721957  -.11378E+00   .28173E-01  .000017   .000044   .400
KZFSN9   1.599477  -.70397E-01   .46975E-02  .000006   .000014   .400
LGSK2    1.586683  -.52860E-01   .30659E-02  .000017   .000043   .400
#-------------------------------------------------------------------------------------------------------------
#OHARA GLASS CATALOGUE: QUADRATIC MODEL,VISIBLE SPECTRAL REGION 
#GLASS  BASE INDEX    NU1         NU2      STD DEV  MAX ERROR   WVL 
FK1      1.471198  -.38835E-01  -.33528E-02  .000004   .000007   .510
FK3      1.465011  -.39168E-01  -.34978E-02  .000004   .000007   .505
FK5      1.487996  -.38665E-01  -.41235E-02  .000004   .000007   .645
FK01     1.497441  -.33745E-01  -.17044E-02  .000006   .000016   .400
PK1      1.504328  -.41941E-01  -.43131E-02  .000004   .000006   .505
PK2      1.518786  -.44332E-01  -.41538E-02  .000007   .000015   .485
PK3      1.526008  -.45215E-01  -.31924E-02  .000005   .000007   .510
PSK1     1.548344  -.48315E-01  -.29915E-02  .000009   .000023   .455
PSK2     1.569383  -.49941E-01  -.29588E-02  .000005   .000013   .400
PSK3     1.552953  -.48107E-01  -.34970E-02  .000004   .000008   .400
PSK01    1.617713  -.54381E-01  -.92677E-03  .000008   .000022   .400
PSK02    1.618706  -.53910E-01  -.42880E-03  .000011   .000030   .400
BK1      1.510673  -.44471E-01  -.23102E-02  .000005   .000012   .400
BK2      1.507162  -.45328E-01  -.20922E-02  .000005   .000012   .400
BK3      1.498866  -.42612E-01  -.39477E-02  .000004   .000007   .510
BK4      1.501034  -.42185E-01  -.41059E-02  .000005   .000007   .505
BK6      1.531743  -.47158E-01  -.24064E-02  .000006   .000016   .400
BK7      1.516915  -.44709E-01  -.32530E-02  .000004   .000006   .640
BK9      1.494420  -.41587E-01  -.44977E-02  .000007   .000013   .490
BK10     1.498363  -.41456E-01  -.45004E-02  .000005   .000009   .495
BK12     1.519324  -.44674E-01  -.34376E-02  .000004   .000007   .655
BALK1    1.527056  -.48566E-01  -.10628E-02  .000008   .000022   .400
BALK3    1.518974  -.47594E-01  -.95601E-03  .000008   .000021   .400
K1       1.510363  -.45507E-01  -.19073E-02  .000004   .000010   .400
K2       1.516673  -.50232E-01   .29147E-03  .000006   .000017   .400
K3       1.518865  -.48631E-01  -.85424E-04  .000005   .000015   .400
K5       1.523127  -.48358E-01  -.25150E-03  .000005   .000014   .400
